ID,YEAR,VIN_1,VIN_2,VIN_3,VIN_15,VIN_16,VIN_17,ENGINE_VOLUME,FUEL_TYPE,BODY_TYPE,TYPE_OF_DRIVE,INTERIOR_TYPE,TRANSM_TYPE,AUTO_CONDITION,AVG_COST,ESTIM_COST
25,2,J,T,J,7,4,5,2,Бензин,Кроссовер,Полный привод,КОМБИНИРОВАННЫЙ,АКПП,Отличное,10268131.87,11723000
26,12,J,N,R,1,5,7,3.5,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Хорошее,4022619.048,3371000
27,6,1,N,X,8,8,1,1.8,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3566666.667,3070000
28,5,J,F,2,6,5,2,2.5,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,4991025.641,4811000
29,4,S,J,N,1,8,8,1.6,Бензин,Кроссовер,Передний привод,ВЕЛЮР,АКПП,Отличное,3788888.889,3500000
30,2,Z,9,4,5,6,0,1.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3001204.819,2491000
31,2,J,M,Z,1,5,6,2.5,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,6304878.049,6525000
32,10,W,D,B,1,3,6,3,Бензин,Универсал,Задний привод,ВЕЛЮР,АКПП,Хорошее,3890476.19,3080000
33,15,J,M,Z,5,7,3,1.6,Бензин-Газ,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,1432051.282,1000000
34,9,J,T,M,0,6,3,2.2,Дизель,Кроссовер,Полный привод,КОЖА,МКПП,Удовлетворительное,4250000,3425000
35,16,J,A,4,5,2,6,3,Бензин,Внедорожник,Полный привод,КОЖА,АКПП,Удовлетворительное,2369879.518,1900000
36,9,J,N,1,7,9,0,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,КОМБИНИРОВАННЫЙ,АКПП,Удовлетворительное,2117721.519,1782000
37,16,W,A,U,1,9,4,2.8,Бензин,Седан,Полный привод,КОЖА,АКПП,Удовлетворительное,1749450.549,1400000
38,4,J,M,B,6,6,2,2,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Хорошее,4620238.095,4753000
39,4,Z,9,4,7,2,7,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,АКПП,Отличное,2667777.778,2351000
40,9,X,7,M,5,8,0,2.7,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,1779761.905,1700000
41,14,4,T,1,3,0,2,2.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Отличное,2335555.556,2117000
42,8,J,H,M,1,4,6,1.8,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2413095.238,2100000
43,2,Z,9,4,0,9,4,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,3041860.465,2700000
44,6,R,K,L,2,1,9,1.8,Бензин,Седан,Передний привод,КОЖА,АКПП,Отличное,3501086.957,2910000
45,4,X,W,7,3,1,5,2.5,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,5876923.077,5534000
46,10,4,S,4,6,8,6,2.5,Бензин-Газ,Кроссовер,Полный привод,КОЖА,АКПП,Хорошее,3701190.476,3200000
47,6,T,M,B,1,0,7,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,МКПП,Хорошее,2076190.476,2100000
48,16,4,S,3,3,0,2,2.5,Бензин,Универсал,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,1830769.231,1545000
49,9,4,T,1,1,7,8,3.5,Бензин,Седан,Передний привод,КОЖА,АКПП,Хорошее,3730952.381,3297000
50,8,J,F,1,9,5,6,2.5,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,4276829.268,3506000
51,3,T,M,B,8,3,3,1.2,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,2432098.765,2000000
52,9,J,T,E,3,3,2,2.7,Бензин-Газ,Внедорожник,Полный привод,КОЖА,АКПП,Удовлетворительное,7339534.884,6426000
53,5,Z,9,4,1,6,5,1.4,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Хорошее,2097752.809,1962000
54,5,W,D,D,6,5,9,1.8,Бензин,Седан,Задний привод,КОЖА,АКПП,Удовлетворительное,6047674.419,5675000
55,3,K,L,1,9,5,6,1.8,Бензин,Хэтчбек/Лифтбек,Передний привод,КОЖА,АКПП,Удовлетворительное,3219753.086,2765000
56,10,K,M,H,6,5,0,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,1942307.692,1600000
57,7,4,S,4,4,9,5,2.5,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Хорошее,4882142.857,4000000
58,3,K,L,1,5,5,5,1.8,Бензин,Хэтчбек/Лифтбек,Передний привод,КОЖА,АКПП,Хорошее,3307142.857,2912000
59,17,J,F,1,5,1,4,2.5,Бензин,Универсал,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,1696385.542,1400000
60,9,K,M,H,0,6,3,2,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Хорошее,3170786.517,2899000
61,15,J,T,E,7,1,3,2,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,2625925.926,2066000
62,12,S,J,N,1,8,7,1.5,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Хорошее,1507407.407,1300000
63,11,J,T,D,8,0,1,2.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2929487.179,2518000
64,3,T,M,B,4,7,0,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,МКПП,Хорошее,2842857.143,2523000
65,3,J,T,E,5,4,3,2.7,Бензин-Газ,Внедорожник,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,11091954.02,10226000
66,15,W,V,W,1,0,8,2.8,Бензин,Седан,Полный привод,КОМБИНИРОВАННЫЙ,АКПП,Хорошее,1423809.524,1518000
67,5,Z,9,4,0,8,1,1.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2681481.481,2200000
68,13,W,B,A,1,7,6,3,Бензин,Седан,Задний привод,КОЖА,АКПП,Удовлетворительное,3112790.698,2706000
69,1,X,7,L,6,0,4,2,Бензин,Кроссовер,Полный привод,КОЖА,МКПП,Хорошее,4300000,4075000
70,11,W,V,W,3,0,6,1.8,Бензин,Седан,Передний привод,КОЖА,МКПП,Удовлетворительное,1560240.964,1368000
71,11,J,T,H,1,6,5,3,Бензин,Седан,Задний привод,КОЖА,АКПП,Хорошее,4065822.785,3414000
72,9,J,N,1,7,6,0,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2158974.359,1900000
73,19,J,M,B,0,8,5,2,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,889743.5897,700000
74,9,4,T,1,6,0,1,2.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Отличное,3210000,2970000
75,3,X,7,L,6,7,3,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,2165384.615,1900000
76,11,S,B,1,1,5,9,1.8,Бензин,Универсал,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,2632926.829,2300000
77,3,U,5,Y,4,6,3,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3656321.839,3574000
78,4,S,B,1,3,1,1,2,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,4873809.524,4440000
79,9,J,T,E,4,6,4,2.7,Бензин-Газ,Внедорожник,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,6543902.439,5789000
80,8,J,T,D,7,8,9,1.5,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2664102.564,2250000
81,4,X,W,8,2,0,8,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2592857.143,2280000
82,9,S,B,1,9,8,4,1.8,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3215853.659,2806000
83,9,4,T,1,8,0,6,2.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,3244047.619,2792000
84,5,X,U,F,2,2,9,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Хорошее,2280952.381,2308000
85,5,4,T,1,5,9,3,2.5,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,4631325.301,3933000
86,10,6,T,1,8,6,9,2.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,3041666.667,2523000
87,12,2,T,2,3,7,3,3.3,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Отличное,4349473.684,3870000
88,2,X,W,8,7,1,9,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2916666.667,2394000
89,9,6,T,1,6,3,1,2.4,Бензин-Газ,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3546153.846,2768000
90,8,J,T,H,7,5,7,2.5,Бензин,Седан,Задний привод,КОЖА,АКПП,Хорошее,4886904.762,4145000
91,7,W,B,A,4,8,9,2.5,Бензин,Седан,Задний привод,КОЖА,АКПП,Хорошее,4953164.557,4600000
92,5,W,A,U,5,3,2,2,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,6250000,6346000
93,8,5,U,X,6,8,7,3,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Хорошее,6720238.095,5999000
94,10,J,T,H,6,8,8,3.5,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,4318518.519,4008000
95,2,Z,9,4,0,8,8,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2958333.333,2646000
96,5,Z,9,4,0,1,6,1.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Отличное,2659770.115,2233000
97,13,J,T,E,0,3,8,2,Бензин-Газ,Минивэн,Передний привод,ВЕЛЮР,МКПП,Хорошее,3147191.011,2689000
98,3,Z,9,4,5,5,5,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2746987.952,2333000
99,6,X,W,8,4,0,6,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Хорошее,2655555.556,2600000
100,10,J,F,1,2,0,4,2.5,Бензин,Универсал,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,3461538.462,2705000
101,9,4,J,G,5,5,9,3.5,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Удовлетворительное,5467901.235,5043000
102,8,J,T,M,8,7,3,4.7,Бензин,Внедорожник,Полный привод,КОЖА,АКПП,Отличное,10261111.11,9300000
103,3,T,M,B,3,9,5,1.2,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Отличное,3225555.556,2800000
104,9,J,T,H,9,2,0,3.5,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,4785526.316,3452000
105,8,S,J,N,3,2,3,1.6,Бензин,Кроссовер,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,2981707.317,3000000
106,9,J,T,N,7,2,4,2.4,Бензин-Газ,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,3482558.14,3172000
107,9,K,N,D,1,3,9,2.7,Бензин-Газ,Кроссовер,Полный привод,КОЖА,АКПП,Удовлетворительное,4119277.108,3200000
108,9,J,T,H,4,7,8,3.5,Бензин,Седан,Полный привод,КОЖА,АКПП,Хорошее,5436708.861,4851000
109,14,S,A,L,4,6,4,1.8,Бензин,Кроссовер,Полный привод,КОЖА,МКПП,Удовлетворительное,2060240.964,1767000
110,10,6,T,1,0,7,2,2.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,3044047.619,2244000
111,14,W,V,W,2,6,,2,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,1701282.051,1700000
112,8,J,T,N,1,0,0,2.4,Бензин,Седан,Передний привод,КОЖА,АКПП,Хорошее,3707142.857,3475000
113,10,T,M,B,5,0,1,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,1551282.051,1423000
114,5,K,M,H,0,5,3,1.4,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,2467816.092,2098000
115,9,4,T,1,5,0,6,2.4,Бензин,Седан,Передний привод,КОЖА,АКПП,Хорошее,3504761.905,2943000
116,9,J,T,N,1,6,8,2.4,Бензин-Газ,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,3462790.698,3252000
117,12,2,T,2,4,2,6,3.3,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Удовлетворительное,4645348.837,4022000
118,10,W,B,A,8,3,6,3,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Удовлетворительное,4180232.558,4100000
119,2,Z,9,4,1,5,9,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,3348148.148,2705000
120,11,W,D,B,3,6,1,2,Бензин,Седан,Задний привод,КОЖА,АКПП,Удовлетворительное,2550000,2300000
121,11,J,T,H,4,0,8,3,Бензин,Седан,Задний привод,КОЖА,АКПП,Удовлетворительное,4230864.198,3448000
122,9,J,F,1,7,8,1,2.5,Бензин,Хэтчбек/Лифтбек,Полный привод,ВЕЛЮР,МКПП,Удовлетворительное,3620731.707,3300000
123,6,K,N,A,8,6,3,1.6,Бензин,Кроссовер,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3279220.779,3007000
124,17,W,D,B,9,6,8,2.8,Бензин,Седан,Задний привод,ВЕЛЮР,АКПП,Удовлетворительное,2006896.552,1900000
125,14,J,T,E,5,0,1,2,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,2774074.074,2362000
126,19,4,T,1,6,4,4,3,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,1695454.545,1200000
127,1,X,7,L,1,9,7,2,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Отличное,4507608.696,4223000
128,2,K,N,A,6,3,2,2.4,Бензин,Седан,Передний привод,КОЖА,АКПП,Отличное,5731578.947,5225000
129,18,J,N,1,5,9,5,3,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,1485714.286,1200000
130,5,Z,9,4,5,0,2,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,2655128.205,2074000
131,3,X,W,7,5,6,5,2.5,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,6222727.273,5821000
132,14,4,T,1,0,9,6,3,Бензин,Седан,Передний привод,КОЖА,АКПП,Хорошее,2540476.19,2215000
133,12,W,A,U,1,5,5,1.8,Бензин,Седан,Полный привод,КОЖА,АКПП,Хорошее,2012658.228,1903000
134,2,X,W,7,9,2,8,2.5,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,6833333.333,5954000
135,2,X,W,7,0,2,0,2.5,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,7252222.222,6090000
136,3,X,W,7,4,4,1,2,Бензин,Седан,Передний привод,КОЖА,АКПП,Отличное,5499000,5555000
137,8,J,T,N,1,1,8,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2641666.667,2502000
138,10,J,F,1,3,1,4,2,Бензин,Седан,Полный привод,ВЕЛЮР,МКПП,Хорошее,2482142.857,2216000
139,4,T,M,B,1,5,2,1.8,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Хорошее,3959523.81,3594000
140,10,J,T,N,2,2,9,2.4,Гибрид,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3241463.415,3069000
141,7,J,H,M,6,5,9,2.4,Бензин,Седан,Передний привод,КОМБИНИРОВАННЫЙ,АКПП,Отличное,3901098.901,3597000
142,13,J,T,E,5,7,4,3.3,Бензин,Кроссовер,Полный привод,КОМБИНИРОВАННЫЙ,АКПП,Хорошее,3661904.762,3300000
143,15,J,T,E,9,9,8,3,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Хорошее,3477380.952,2876000
144,14,W,F,0,0,6,4,3,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Удовлетворительное,2226506.024,1800000
145,3,S,J,N,4,9,2,1.6,Бензин,Кроссовер,Передний привод,ВЕЛЮР,МКПП,Хорошее,3396428.571,3300000
146,2,X,W,E,7,9,7,2,Бензин,Кроссовер,Передний привод,ВЕЛЮР,МКПП,Отличное,4988505.747,4740000
147,11,4,S,4,5,7,6,2.5,Бензин,Универсал,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,2976923.077,2375000
148,14,W,A,U,7,9,2,1.8,Бензин,Универсал,Передний привод,ВЕЛЮР,АКПП,Хорошее,1711904.762,1700000
149,5,J,T,N,6,3,9,2.5,Бензин,Седан,Передний привод,КОЖА,АКПП,Отличное,4507000,4938000
150,11,J,M,Y,5,1,6,3,Бензин,Внедорожник,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,3736585.366,3528000
151,18,J,T,1,5,7,5,2.2,Бензин-Газ,Седан,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,1597701.149,900000
152,9,W,F,O,6,2,1,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,1815189.873,1528000
153,8,S,B,1,1,1,7,1.8,Бензин-Газ,Универсал,Передний привод,ВЕЛЮР,МКПП,Отличное,3329670.33,2913000
154,3,K,L,1,2,1,2,1.8,Бензин,Универсал,Передний привод,КОМБИНИРОВАННЫЙ,АКПП,Удовлетворительное,3628048.78,3060000
155,14,J,T,H,7,9,6,3,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,2922368.421,2252000
156,4,K,N,A,9,5,8,1.6,Бензин-Газ,Седан,Передний привод,ВЕЛЮР,АКПП,Отличное,2842105.263,2851000
157,14,W,A,U,7,4,3,2.4,Бензин,Универсал,Передний привод,КОЖА,АКПП,Удовлетворительное,2163953.488,1392000
158,10,6,T,1,8,5,9,2.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3274358.974,2506000
159,13,J,T,8,8,5,0,3,Бензин,Седан,Задний привод,КОЖА,АКПП,Хорошее,2757142.857,2256000
160,11,J,T,E,9,7,4,2.7,Бензин,Внедорожник,Полный привод,КОЖА,АКПП,Хорошее,5886516.854,5735000
161,10,K,M,H,2,4,4,3.3,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2217857.143,1941000
162,1,X,W,7,1,1,5,2.5,Бензин,Седан,Передний привод,КОЖА,АКПП,Отличное,7885000,7853000
163,9,J,F,1,3,4,1,2.5,Бензин-Газ,Универсал,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,3528048.78,3162000
164,3,K,L,1,1,3,1,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Отличное,2332222.222,2302000
165,10,M,R,1,3,8,0,2.7,Бензин,Внедорожник,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,5382051.282,4500000
166,5,K,M,H,4,1,0,1.6,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,3513953.488,3089000
167,9,S,J,N,8,8,6,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,КОМБИНИРОВАННЫЙ,АКПП,Удовлетворительное,2362195.122,2195000
168,3,K,M,H,9,2,1,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,3430952.381,3119000
169,9,J,T,N,5,1,1,3.5,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,3615116.279,3350000
170,15,W,B,A,4,3,4,3,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Отличное,3144444.444,2850000
171,6,X,7,L,6,8,8,1.4,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,1793023.256,1400000
172,8,V,F,3,4,9,0,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,АКПП,Хорошее,1807142.857,1800000
173,5,K,M,H,5,4,5,1.6,Газ,Седан,Передний привод,КОЖА,АКПП,Отличное,3465555.556,3000000
174,14,W,V,W,6,0,1,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,КОЖА,АКПП,Хорошее,1817857.143,1470000
175,6,W,D,D,8,5,8,1.8,Бензин,Седан,Задний привод,КОЖА,АКПП,Удовлетворительное,4932558.14,4601000
176,3,S,J,N,9,9,4,1.6,Бензин,Кроссовер,Передний привод,ВЕЛЮР,АКПП,Хорошее,4202380.952,4000000
177,2,X,7,L,1,9,1,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,МКПП,Хорошее,2446428.571,2010000
178,14,3,V,W,4,2,0,2,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,1337974.684,1179000
179,3,X,W,7,5,6,5,2.5,Бензин,Седан,Передний привод,КОЖА,АКПП,Отличное,6207000,5821000
180,15,V,F,1,2,1,6,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,1256410.256,950000
181,4,X,U,F,9,4,5,1.8,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3052564.103,2592000
182,15,S,A,L,7,0,4,2.5,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Хорошее,1833333.333,1600000
183,14,W,O,L,0,6,6,1.8,Бензин,Минивэн,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,1589156.627,1250000
184,4,J,F,2,6,4,8,2.5,Бензин,Универсал,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,6060256.41,5116000
185,6,5,J,6,2,2,7,2.4,Бензин,Кроссовер,Передний привод,КОЖА,АКПП,Хорошее,4141772.152,4500000
186,8,W,D,B,5,1,3,3,Бензин,Седан,Полный привод,КОЖА,АКПП,Удовлетворительное,4677906.977,4086000
187,6,1,N,X,3,2,9,1.8,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,3190476.19,3119000
188,12,J,N,1,6,6,0,3,Дизель,Внедорожник,Полный привод,КОЖА,АКПП,Удовлетворительное,4904651.163,4600000
189,8,K,L,1,9,2,2,1.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,1950000,1555000
190,5,4,T,1,8,6,7,2.5,Бензин-Газ,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,4624418.605,4274000
191,3,X,W,B,9,7,0,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Хорошее,2637037.037,2100000
192,8,J,T,J,5,8,8,3.5,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Удовлетворительное,6629629.63,5700000
193,9,J,T,D,4,6,7,1.5,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2514814.815,2270000
194,12,W,D,B,5,4,8,3.2,Бензин,Седан,Задний привод,КОЖА,АКПП,Хорошее,3332911.392,2800000
195,9,K,N,M,1,3,7,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2155128.205,1624000
196,15,J,A,4,6,7,1,3,Бензин-Газ,Внедорожник,Полный привод,КОЖА,АКПП,Удовлетворительное,2609302.326,2200000
197,8,K,N,M,4,1,3,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2202564.103,1656000
198,8,W,V,2,7,9,8,1.6,Бензин-Газ,Минивэн,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,2989743.59,2300000
199,15,4,S,3,3,2,4,2.5,Бензин,Седан,Полный привод,КОЖА,АКПП,Удовлетворительное,1804819.277,1612000
200,14,S,J,N,9,0,6,2,Бензин,Универсал,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,1847945.205,1200000
